L1,L2,batch_size,dec,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
0.262,0.113,173,0.149,872,tanh,relu,18,glorot_uniform,0.133,binary_crossentropy,3,0.13,"(519, 377, 24, 695, 1)",sigmoid,Adamax
0.293,0.173,1423,0.075,590,relu,sigmoid,18,constant,0.067,binary_crossentropy,3,0.49,"(710, 684, 479, 757, 1)",sigmoid,Adamax
0.249,0.142,1221,0.156,686,tanh,tanh,18,glorot_normal,0.242,binary_crossentropy,3,0.4,"(576, 124, 1)",sigmoid,Nadam
0.057,0.071,859,0.192,215,tanh,softmax,18,glorot_normal,0.274,binary_crossentropy,3,0.68,"(911, 608, 1)",sigmoid,SGD
0.177,0.095,225,0.219,368,tanh,sigmoid,18,glorot_uniform,0.17,binary_crossentropy,3,0.27,"(1394, 1)",sigmoid,adam
0.296,0.146,703,0.167,788,sigmoid,softmax,18,he_normal,0.124,binary_crossentropy,3,0.28,"(792, 1311, 1012, 1)",sigmoid,Nadam
0.042,0.103,447,0.085,341,tanh,softmax,18,constant,0.104,binary_crossentropy,3,0.32,"(1113, 1385, 999, 1)",sigmoid,Adamax
0.023,0.025,1207,0.216,449,sigmoid,relu,18,he_uniform,0.115,binary_crossentropy,3,0.31,"(1405, 447, 957, 282, 1)",sigmoid,Nadam
0.017,0.075,1369,0.294,332,softmax,tanh,18,he_uniform,0.196,binary_crossentropy,3,0.13,"(254, 1)",sigmoid,Adagrad
0.192,0.165,551,0.031,227,sigmoid,softmax,18,he_normal,0.107,binary_crossentropy,3,0.8,"(1181, 563, 960, 1)",sigmoid,Adagrad
