L1,L2,batch_size,dec,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
0.002,0.2688,370,0.0428,112,tanh,relu,17,glorot_normal,0.224,binary_crossentropy,3,0.734,"(571, 1)",sigmoid,adam
0.0233,0.2313,467,0.1866,714,tanh,softmax,17,constant,0.2061,binary_crossentropy,3,0.262,"(354, 498, 252, 391, 1)",sigmoid,Adamax
0.0316,0.2342,591,0.1366,740,tanh,tanh,17,he_uniform,0.0982,binary_crossentropy,3,0.79,"(323, 419, 106, 292, 1)",sigmoid,SGD
0.044,0.0525,94,0.1407,685,relu,relu,17,he_uniform,0.2966,binary_crossentropy,3,0.494,"(519, 459, 177, 298, 1)",sigmoid,Nadam
0.1675,0.0054,17,0.0108,698,relu,relu,17,he_normal,0.2927,binary_crossentropy,3,0.533,"(54, 296, 1)",sigmoid,SGD
0.1699,0.0387,517,0.2476,49,relu,sigmoid,17,glorot_normal,0.1385,binary_crossentropy,3,0.82,"(144, 262, 1)",sigmoid,Nadam
0.2041,0.1512,479,0.1407,875,relu,softmax,17,he_normal,0.1574,binary_crossentropy,3,0.259,"(575, 429, 448, 1)",sigmoid,Nadam
0.216,0.2741,480,0.0346,138,sigmoid,tanh,17,constant,0.0203,binary_crossentropy,3,0.862,"(508, 60, 104, 145, 1)",sigmoid,Adamax
0.2358,0.2484,414,0.1643,602,tanh,softmax,17,glorot_uniform,0.0721,binary_crossentropy,3,0.751,"(372, 1)",sigmoid,adam
0.2655,0.2295,109,0.0348,830,relu,relu,17,he_normal,0.1647,binary_crossentropy,3,0.426,"(72, 383, 1)",sigmoid,Nadam
