group_number,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,ls,ltype,momen,mstruct,oacti,opti,time_interval
1,0.194,0.101,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax,16.258
2,0.294,0.068,1121,0.267,0.22,179,tanh,softmax,18,glorot_uniform,binary_crossentropy,3,0.69,"(50, 817, 522, 935, 1)",sigmoid,Nadam,0.467
3,0.243,0.119,1321,0.154,0.21,134,softmax,softmax,18,constant,binary_crossentropy,3,0.59,"(774, 74, 371, 221, 1)",sigmoid,Nadam,105.796
4,0.06,0.293,171,0.081,0.67,569,softmax,tanh,18,he_uniform,binary_crossentropy,3,0.63,"(1235, 801, 1)",sigmoid,Adamax,5.736
5,0.141,0.171,237,0.038,0.48,800,softmax,relu,18,he_normal,binary_crossentropy,3,0.85,"(639, 79, 1350, 1)",sigmoid,adam,10.035
6,0.272,0.214,957,0.149,0.67,461,tanh,relu,18,glorot_uniform,binary_crossentropy,3,0.77,"(31, 1207, 1)",sigmoid,adam,27.433
7,0.119,0.112,857,0.234,0.37,710,sigmoid,sigmoid,18,glorot_uniform,binary_crossentropy,3,0.14,"(1351, 887, 571, 1443, 1)",sigmoid,adam,8.114
8,0.166,0.134,787,0.233,0.58,416,tanh,tanh,18,he_normal,binary_crossentropy,3,0.71,"(25, 191, 226, 562, 1)",sigmoid,SGD,1.416
9,0.05,0.226,531,0.18,0.56,368,softmax,relu,18,he_normal,binary_crossentropy,3,0.64,"(371, 1)",sigmoid,Adagrad,47.782
10,0.019,0.295,987,0.053,0.87,974,relu,sigmoid,18,he_uniform,binary_crossentropy,3,0.66,"(666, 505, 1)",sigmoid,SGD,15.899
average time: 23.8936 h
