L1,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.001,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.002,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.003,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.004,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.005,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.006,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.007,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.008,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.009,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.01,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.011,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.012,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.013,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.014,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.015,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.016,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.017,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.018,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
