L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,test_auc
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.1,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.101,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.102,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.103,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.104,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.105,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.106,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.107,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.108,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.109,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.11,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.111,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.112,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.113,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.114,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.115,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.116,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.117,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.118,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.119,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.12,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.121,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.122,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.123,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.124,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.125,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.126,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.127,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.128,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.129,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.13,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.131,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.132,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.133,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.134,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.135,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.136,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.137,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.138,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.139,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.14,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.141,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.142,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.143,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.144,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
0.1812,0.1713,137,0.0718,0.471,268,softmax,sigmoid,17,glorot_uniform,0.0261,binary_crossentropy,3,0.145,"(436, 78, 78, 387, 1)",sigmoid,SGD,0.5
